초등학교명,행정복지센터,법정동(읍∙면),법정리(통),행정리(반),구역(번지),제외 구역(번지),공동주택명,초등학교 공동학구,초등학교 공동(일방)학구,참고,중학구,중학교 공동학구,중학교 공동(일방)학구,추첨학교
국원초,교현·안림동,교현동,13통/14통,,,,,충주교현초, 대미초/산척초/엄정초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
국원초,교현·안림동,교현동,15통,3반/4반,,제외- 야현1길 동북쪽/갱고개길 서쪽지역,,충주교현초, 대미초/산척초/엄정초,야현1길 동북쪽/갱고개길 서쪽지역-충주교현초 학구,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
국원초,교현·안림동,안림동,3통,1반/2반/3반/4반/5반/6반,,,,충주교현초/충주성남초, 대미초/산척초/엄정초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
국원초,교현·안림동,안림동,9통/10통,,,,충주엘리시아아파트,연수초, 대미초/산척초/엄정초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
국원초,교현·안림동,안림동,11통/12통/13통/14통/15통/16통,,,제외- 13통 4반 중 952-22/952-25,충주안림LH천년나무아파트1단지/충주안림LH천년나무아파트2단지/충주2차푸르지오아파트,충주교현초, 대미초/산척초/엄정초,13통 4반 중 952-22/952-25(충주안림LH천년나무아파트2단지202동104호~1204호/105호~1205호/106호~1206호)- 연수초 공동학구/대미초/산척초/엄정초 공동(일방)학구,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
국원초,교현·안림동,안림동,13통,4반, 952-22번지/952-25번지,,충주안림LH천년나무2단지아파트202동104호~1204호/충주안림LH천년나무2단지아파트105호~1205호/충주안림LH천년나무2단지아파트106호~1206호,연수초, 대미초/산척초/엄정초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
국원초,교현·안림동,연수동,44통/45통/46통/56통/57통/58통,,,,유원1차아파트/유원2차아파트,연수초, 대미초/산척초/엄정초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
국원초,교현·안림동,연수동,78통/79통/80통,,,,연수힐스테이트아파트,연수초, 대미초/산척초/엄정초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
국원초,교현·안림동,연수동,81통/82통/85통/86통,,,,연수리슈빌아파트,연수초, 대미초/산척초/엄정초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
단월초,달천동,가주동,,,,,,,,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
단월초,달천동,단월동,,,,,,,,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
단월초,달천동,달천동,,,,,,,,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
단월초,달천동,풍동,,,,,,,,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
단월초,호암·직동,호암동,4통,3반,,,,,충주남한강초(큰학교)/세성초/수회초/수안보초/달천초매현분교장/달천초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
단월초,호암·직동,호암동,29통/30통/31통/32통/33통/34통/35통/36통/37통/38통/39통/40통/41통,,,,,,충주남한강초(큰학교)/세성초/수회초/수안보초/달천초매현분교장/달천초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
달천초,달천동,용두동/용관동,,,,,,,,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
달천초,대소원면,대소원면,두정리,산정,,,,,,두담- 충주달천초매현분교 학구,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
달천초,대소원면,대소원면,만정리,만적/독정1/독정2,,,,,,황대- 충주대소원초 학구,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
달천초,대소원면,대소원면,검단리,상검단/하검단/중검단,,,,,,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
달천초,호암·직동,호암동,4통,3반,,,,,충주남한강초(큰학교)/세성초/수회초/수안보초/달천초매현분교장/단월초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
달천초,호암·직동,호암동,29통/30통/31통/32통/33통/34통/35통/36통/37통/38통/39통/40통/41통,,,,,,충주남한강초(큰학교)/세성초/수회초/수안보초/달천초매현분교장/단월초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
목행초,목행·용탄동,목행동/용탄동,,,,,,,,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
목행초,칠금·금릉동,금릉동,1통,,,,,,,2통- 충주금릉초 학구,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
연수초,교현·안림동,안림동,9통/10통,,,,충주엘리시아아파트,국원초,대미초/산척초/엄정초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
연수초,교현·안림동,안림동,13통,4반, 952-22번지/952-25번지,,충주안림LH천년나무2단지아파트202동104호~1204호/충주안림LH천년나무2단지아파트105호~1205호/충주안림LH천년나무2단지아파트106호~1206호,국원초,대미초/산척초/엄정초,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
연수초,연수동,연수동,1통/2통/8통/9통/19통/20통/21통,,,,주공아파트110동~118동,,,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
연수초,연수동,연수동,3통,1반/2반/3반,,,,,,4반- 충주금릉초,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
연수초,연수동,연수동,7통,1반/2반/3반/4반,,,,,,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
연수초,연수동,연수동,18통,3반/4반/5반/6반,,,주공아파트108동~109동,,,,충주시학교군(추첨),,,충일중(남)/충주미덕중(남)/충주북여자중(북여중)/충주여자중(여중)/충주예성여자중(예성여중)/충주중앙중/충주중(남)/칠금중/탄금중
